GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0500000US36093,36093,"Schenectady County, New York",154727,154721,154896,154673,154945,154964,155006,154758,154553
0500000US36095,36095,"Schoharie County, New York",32749,32744,32688,32662,32086,31872,31690,31372,31317
0500000US36097,36097,"Schuyler County, New York",18343,18341,18309,18492,18579,18502,18301,18199,18099
0500000US36099,36099,"Seneca County, New York",35251,35244,35246,35353,35380,35272,34904,34848,34777
0500000US36101,36101,"Steuben County, New York",98990,98992,98990,99272,99064,98952,98253,97546,96940
0500000US36103,36103,"Suffolk County, New York",1493350,1493200,1494747,1500259,1499382,1500776,1500008,1497903,1492583
0500000US36105,36105,"Sullivan County, New York",77547,77520,77412,77104,76952,76919,75667,74751,74801
0500000US36107,36107,"Tioga County, New York",51125,51048,51000,50945,50303,50128,49793,49261,48760
0500000US36109,36109,"Tompkins County, New York",101564,101594,101774,102111,103135,104270,104498,104564,104871
0500000US36111,36111,"Ulster County, New York",182493,182512,182408,182647,181811,180987,180680,179824,179225
0500000US36113,36113,"Warren County, New York",65707,65700,65678,65694,65418,65145,64882,64544,64567
0500000US36115,36115,"Washington County, New York",63216,63242,63321,63112,63066,62777,62442,62238,61800
0500000US36117,36117,"Wayne County, New York",93772,93750,93756,93260,93012,92393,91829,91340,90798
0500000US36119,36119,"Westchester County, New York",949113,949070,950588,957052,961073,967377,970255,972900,974542
0500000US36121,36121,"Wyoming County, New York",42155,42162,42118,41930,41771,41431,41200,41004,40791
0500000US36123,36123,"Yates County, New York",25348,25351,25349,25387,25271,25154,25130,25051,24923
0500000US37001,37001,"Alamance County, North Carolina",151131,151144,151486,152847,153659,154622,156036,157857,159688
0500000US37003,37003,"Alexander County, North Carolina",37198,37183,37238,37108,36964,36999,37360,37304,37428
0500000US37005,37005,"Alleghany County, North Carolina",11155,11154,11144,11024,10923,10896,10863,10812,10848
0500000US37007,37007,"Anson County, North Carolina",26948,26931,26858,26508,26311,25959,26066,25632,25448
0500000US37009,37009,"Ashe County, North Carolina",27281,27234,27205,27132,27099,27036,27000,26900,26924
0500000US37011,37011,"Avery County, North Carolina",17797,17795,17730,17766,17630,17704,17723,17592,17516
0500000US37013,37013,"Beaufort County, North Carolina",47759,47779,47787,47707,47497,47496,47505,47543,47526
0500000US37015,37015,"Bertie County, North Carolina",21282,21285,21242,20968,20591,20444,20440,20290,19854
0500000US37017,37017,"Bladen County, North Carolina",35190,35177,35156,35004,34922,34810,34531,34266,33741
0500000US37019,37019,"Brunswick County, North Carolina",107431,107431,108065,110223,112163,115287,118809,122622,126953
0500000US37021,37021,"Buncombe County, North Carolina",238318,238352,238823,241387,244188,247480,249997,252808,256088
0500000US37023,37023,"Burke County, North Carolina",90912,90822,90595,90609,89901,89265,88689,88704,88851
0500000US37025,37025,"Cabarrus County, North Carolina",178011,178112,178581,181199,184290,187294,191796,196508,201590
0500000US37027,37027,"Caldwell County, North Carolina",83029,83038,82968,82311,81979,81912,81494,81282,81449
0500000US37029,37029,"Camden County, North Carolina",9980,9980,9983,10045,10035,10135,10272,10279,10418
0500000US37031,37031,"Carteret County, North Carolina",66469,66468,66696,67358,67738,68441,68751,68863,68890
0500000US37033,37033,"Caswell County, North Carolina",23719,23748,23715,23603,23220,23294,23036,23012,22910
0500000US37035,37035,"Catawba County, North Carolina",154358,154771,154719,154556,154940,155202,155109,155593,156459
0500000US37037,37037,"Chatham County, North Carolina",63505,63504,63796,65193,65764,66622,68492,70770,72243
0500000US37039,37039,"Cherokee County, North Carolina",27444,27441,27425,27134,26971,27060,27056,27137,27905
0500000US37041,37041,"Chowan County, North Carolina",14793,14793,14746,14812,14715,14721,14589,14372,14383
0500000US37043,37043,"Clay County, North Carolina",10587,10594,10589,10676,10684,10650,10644,10755,10915
